4001/Credit/1317 5th St. San Bernardino, CA. 92408/25-SEP-12/3003/30-SEP-12/3/600001/10002
4002/Debit/1621 Euerka St. San Bernardino, CA. 92407/25-SEP-12/3002/30-SEP-12/2/600002/10001
4003/Cash/14 University Ave. San Bernardino, CA. 92407/14-SEP-12/3004/30-SEP-12/4/600003/10003
4004/Credit/74 Euerka St. San Bernardino, Ca. 92408/26-SEP-12/3005/30-SEP-12/5/600004/10004
4005/Cash/14 Market Ave. San Bernardino, CA. 92408/24-SEP-12/3007/30-SEP-12/7/600005/10006
4006/Credit/123 4th St. San Bernardino, CA. 92407/03-OCT-12/3006/30-SEP-12/6/600007/10005
4007/Check/280 Drake Dr. San Bernardino, CA. 92408/29-SEP-12/3009/30-SEP-12/9/600006/10008
4008/Credit/654 Lincoln Ave. San Bernardino, Ca. 92408/27-SEP-12/3010/30-SEP-12/10/600008/10009
4009/Check/35 Kinsey Ave. San Bernardino, CA. 92407/29-SEP-12/3008/30-SEP-12/8/600009/10007
4010/Check/719 Waterman Ave. San Bernardino, CA. 92408/28-SEP-12/3011/30-SEP-12/11/600010/10010
4011/Check/35 Kinsey Ave. San Bernardino, CA. 92407/14-JAN-13/3008/30-JAN-13/8/600009/10007
4012/Credit/4564 Waver Ave. San Bernardino, Ca. 92408/24-SEP-12/3012/30-SEP-12/12/600011/10011
4013/Check/719 Waterman Ave. San Bernardino, CA. 92408/13-JAN-13/3011/30-JAN-13/11/600010/10010
4014/Check/4135 Sierra St. San Bernardino, CA. 92408/27-SEP-12/3001/30-SEP-12/1/600014/10000
4015/Debit/1621 Euerka St. San Bernardino, CA. 92407/10-FEB-13/3002/30-JAN-13/2/600002/10001
4016/Credit/1317 5th St. San Bernardino, CA. 92408/27-JAN-13/3003/30-JAN-13/3/600001/10002
4017/Cash/14 University Ave. San Bernardino, CA. 92407/27-JAN-13/3004/30-JAN-13/4/600003/10003
4018/Cash/14 Market Ave. San Bernardino, CA. 92408/27-JAN-13/3007/30-JAN-13/7/600005/10006
