10000/1/4135 Sierra St. San Bernardino, CA. 92408/15-DEC-12/30-AUG-12/3001/9093033030
10001/3/1621 Euerka St. San Bernardino, CA. 92407/15-JUN-12/30-AUG-12/3002/9092222222
10002/4/1317 5th St. San Bernardino, CA. 92408/15-AUG-12/30-AUG-12/3003/9091111111
10003/2/14 University Ave. San Bernardino, CA. 92407/15-MAR-12/30-AUG-12/3004/9093333333
10004/1/74 Euerka St. San Bernardino, Ca. 92408/15-DEC-12/30-AUG-12/3005/9094444444
10005/1/123 4th St. San Bernardino, CA. 92407/15-DEC-12/30-AUG-12/3006/9097777777
10006/4/14 Market Ave. San Bernardino, CA. 92408/15-AUG-12/30-AUG-12/3007/9095555555
10007/4/35 Kinsey Ave. San Bernardino, CA. 92407/15-AUG-12/30-AUG-12/3008/9099999999
10008/3/280 Drake Dr. San Bernardino, CA. 92408/15-JUN-12/30-AUG-12/3009/9096666666
10009/1/654 Lincoln Ave. San Bernardino, Ca. 92408/15-DEC-12/30-AUG-12/3010/9098888888
10010/2/719 Waterman Ave. San Bernardino, CA. 92408/15-MAR-12/30-AUG-12/3011/9091234567
10011/1/4564 Waver Ave. San Bernardino, Ca. 92408/15-DEC-12/30-AUG-12/3012/9097654321
